# Total Phase Data Center(tm) v8.10
# (c) 2005-2026 Total Phase, Inc.
# www.totalphase.com
#
# Wed Apr 01 10:35:44 2026
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Thu May  8 09:32:14 2014],""
0,,1,0:00.000.000,,,,,,<Host connected>,,,""
0,FS,2,0:08.675.987,,,,,,<Full-speed>,,,""
0,FS,3,0:08.678.987,44.623.916 ms,,,,,<Suspend>,,,""
0,,4,0:08.723.611,96.241.766 ms,,,,,<Reset> / <Target disconnected>,,,""
0,FS,5,0:08.819.852,,,,,,<Full-speed>,,,""
0,FS,6,0:08.822.852,204.848.083 ms,,,,,<Suspend>,,,""
0,FS,7,0:09.027.700,55.929.233 ms,,,,,<Reset> / <Target disconnected>,,,""
0,FS,8,0:09.083.630,,,,,,<Full-speed>,,,""
0,FS,9,0:09.083.656,60.010.000 ms,,,,,[61 SOF],,[Frames: 499 - 559] ,""
0,FS,10,0:09.140.667,3.007.583 ms,18 B,,00,00,Get Device Descriptor,12 01 10 02 00 00 00 40 D1 18 E1 4E 32 02 01 02 03 01,Index=0 Length=64,".......@...N2....."
1,FS,11,0:09.140.667,12.500 us,8 B,,00,00,   SETUP txn,80 06 00 01 00 00 40 00,,"......@."
2,FS,12,0:09.140.667,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10,,"-.."
2,FS,13,0:09.140.670,7.416 us,11 B,,00,00,      DATA0 packet,C3 80 06 00 01 00 00 40 00 DD 94,,".......@..."
2,FS,14,0:09.140.678,750 ns,1 B,,00,00,      ACK packet,D2,,"."
1,FS,15,0:09.141.667,19.583 us,18 B,,00,00,   IN txn,12 01 10 02 00 00 00 40 D1 18 E1 4E 32 02 01 02 03 01,,".......@...N2....."
2,FS,16,0:09.141.667,2.083 us,3 B,,00,00,      IN packet,69 00 10,,"i.."
2,FS,17,0:09.141.670,14.083 us,21 B,,00,00,      DATA1 packet,4B 12 01 10 02 00 00 00 40 D1 18 E1 4E 32 02 01 02 03 01 22 C8,,"K.......@...N2.....""."
2,FS,18,0:09.141.686,750 ns,1 B,,00,00,      ACK packet,D2,,"."
1,FS,19,0:09.142.667,1.007.333 ms,0 B,,00,00,   OUT txn   [1 POLL],,,""
2,FS,20,0:09.142.667,7.250 us,,,00,00,      [1 OUT-DATA-NAK],,,""
3,FS,21,0:09.142.667,7.250 us,0 B,,00,00,         OUT-DATA-NAK,,,""
4,FS,22,0:09.142.667,2.083 us,3 B,,00,00,            OUT packet,E1 00 10,,"..."
4,FS,23,0:09.142.670,2.083 us,3 B,,00,00,            DATA1 packet,4B 00 00,,"K.."
4,FS,24,0:09.142.673,750 ns,1 B,,00,00,            NAK packet,5A,,"Z"
2,FS,25,0:09.143.667,2.083 us,3 B,,00,00,      OUT packet,E1 00 10,,"..."
2,FS,26,0:09.143.670,2.083 us,3 B,,00,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,27,0:09.143.674,750 ns,1 B,,00,00,      ACK packet,D2,,"."
0,FS,28,0:09.144.664,55.009.416 ms,,,,,[56 SOF],,[Frames: 560 - 615] ,""
0,FS,29,0:09.199.727,55.957.066 ms,,,,,<Reset> / <Target disconnected>,,,""
0,FS,30,0:09.255.684,,,,,,<Full-speed>,,,""
0,FS,31,0:09.256.679,58.009.750 ms,,,,,[59 SOF],,[Frames: 672 - 730] ,""
0,FS,32,0:09.312.689,2.007.833 ms,0 B,,00,00,Set Address,,Address=07,""
1,FS,33,0:09.312.689,12.583 us,8 B,,00,00,   SETUP txn,00 05 07 00 00 00 00 00,,"........"
2,FS,34,0:09.312.689,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10,,"-.."
2,FS,35,0:09.312.693,7.416 us,11 B,,00,00,      DATA0 packet,C3 00 05 07 00 00 00 00 00 EB 43,,"..........C"
