# Total Phase Data Center(tm) v8.10
# (c) 2005-2026 Total Phase, Inc.
# www.totalphase.com
#
# Wed Apr 01 10:34:36 2026
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Tue Oct 28 15:28:37 2014],""
0,,1,0:00.000.000,,,,,,<Host disconnected>,,,""
0,,2,0:06.862.811,,,,,,<Host connected>,,,""
0,FS,3,0:06.862.815,,,,,,<Full-speed>,,,""
0,FS,4,0:06.862.821,1.250 us,,U,,,<Reset> / <Chirp J> / <Tiny J>,,,""
0,FS,5,0:06.862.822,,,,,,<Full-speed>,,,""
0,FS,6,0:06.865.822,136.518.150 ms,,,,,<Suspend>,,,""
0,FS,7,0:07.002.340,11.002.183 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,,,""
0,FS,8,0:07.013.343,,,,,,<Full-speed>,,,""
0,FS,9,0:07.013.810,30.006.666 ms,,,,,[31 SOF],,[Frames: 1012 - 1042] ,""
0,FS,10,0:07.043.819,131.916 us,8 B,,00,00,Get Device Descriptor,12 01 00 02 00 00 00 08,Index=0 Length=64,"........"
1,FS,11,0:07.043.819,12.416 us,8 B,,00,00,   SETUP txn,80 06 00 01 00 00 40 00,,"......@."
2,FS,12,0:07.043.819,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10,,"-.."
2,FS,13,0:07.043.822,7.416 us,11 B,,00,00,      DATA0 packet,C3 80 06 00 01 00 00 40 00 DD 94,,".......@..."
2,FS,14,0:07.043.831,750 ns,1 B,,00,00,      ACK packet,D2,,"."
1,FS,15,0:07.043.840,88.250 us,8 B,,00,00,   IN txn   [6 POLL],12 01 00 02 00 00 00 08,,"........"
2,FS,16,0:07.043.840,67.083 us,,,00,00,      [6 IN-NAK],,,""
2,FS,17,0:07.043.916,2.083 us,3 B,,00,00,      IN packet,69 00 10,,"i.."
2,FS,18,0:07.043.919,7.416 us,11 B,,00,00,      DATA1 packet,4B 12 01 00 02 00 00 00 08 57 E7,,"K........W."
2,FS,19,0:07.043.927,750 ns,1 B,,00,00,      ACK packet,D2,,"."
1,FS,20,0:07.043.944,7.000 us,0 B,,00,00,   OUT txn,,,""
2,FS,21,0:07.043.944,2.083 us,3 B,,00,00,      OUT packet,E1 00 10,,"..."
2,FS,22,0:07.043.947,2.083 us,3 B,,00,00,      DATA1 packet,4B 00 00,,"K.."
2,FS,23,0:07.043.950,750 ns,1 B,,00,00,      ACK packet,D2,,"."
0,FS,24,0:07.044.815,2.083 us,,,,,[1 SOF],,[Frame: 1043] ,""
0,FS,25,0:07.013.815,28.006.250 ms,,,09,01,[8 ORPHANED],,,""
1,FS,26,0:07.013.815,28.006.250 ms,,,09,01,   [8 IN],,,""
0,FS,27,0:07.044.846,5.433 us,,,,,<Reset> / <Target disconnected>,,,""
0,FS,28,0:07.044.852,10.996.750 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,,,""
0,FS,29,0:07.055.848,,,,,,<Full-speed>,,,""
0,FS,30,0:07.056.817,31.006.833 ms,,,,,[32 SOF],,[Frames: 1055 - 1086] ,""
0,FS,31,0:07.087.826,27.833 us,0 B,,00,00,Set Address,,Address=14,""
1,FS,32,0:07.087.826,12.416 us,8 B,,00,00,   SETUP txn,00 05 0E 00 00 00 00 00,,"........"
